,date,open,close,high,low,volume,成交额,最新价,RSVM,KW,DW,JW,XG_IN,XG_OUT,XG,dt,year,month,day,hour,minute,second,yyyymmdd,yyyymmdd_lst1d,hhmmss,X_1,X_2,X_3,X_14,X_15,X_16,X_17,drawicon_x17,X_18,X_19,drawicon_x19,X_20,X_21,X_22,X_23,tmp,tmp2,tmp3,X_24,X_25,X1,Z1,X_26,X_27,X_28,X_29,X2,Z2,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,X_47,X_48,X_49,X_50,X_51,V1,V2,V3,V4,WW,V11
0,2023-10-02 21:30:00,0.0,358.38,358.52,358.38,1541060.0,552375728.0,358.439,,,,,0,0,0,2023-10-02 21:30:00,2023,10,2,21,30,0,20231002,1,213000,358.38,360.52653333333336,358.7400144498613,,,False,False,False,False,False,False,False,False,False,False,,1,0,0,0,,,False,False,0,0,,,False,False,False,False,0,0,,,False,False,0,0,,,False,False,False,False,0,0,,,3584.1499999999996,0.0,0.0,0.0,0.0,
1,2023-10-02 21:31:00,0.0,358.06,358.5,357.93,557656.0,199672098.0,358.337,,,,,0,0,0,2023-10-02 21:31:00,2023,10,2,21,31,0,20231002,1,213100,358.06,360.52653333333336,358.7400144498613,358.38,,False,False,False,False,False,False,False,True,False,True,358.38,0,0,0,0,,,False,False,0,0,,,False,False,False,False,0,0,,,False,False,0,0,,,False,True,False,True,0,0,,,3581.375,-0.2378571428566829,-0.07928571428556097,-1.7442857142823414,0.0,
2,2023-10-02 21:32:00,0.0,358.69,358.78,358.04,291088.0,104372067.0,358.364,,,,,0,0,0,2023-10-02 21:32:00,2023,10,2,21,32,0,20231002,1,213200,358.69,360.52653333333336,358.7400144498613,358.06,,False,False,False,False,False,False,False,False,False,False,358.06,1,1,0,0,,,False,False,0,0,,,False,False,False,False,0,0,,,False,False,0,0,,,False,False,False,False,0,0,,,3585.4999999999995,-0.0745714285703798,-0.07771428571383392,0.03457142857799535,0.03457142857799535,
3,2023-10-02 21:33:00,0.0,358.8,358.91,358.61,229064.0,82306411.0,358.447,,,,,0,0,0,2023-10-02 21:33:00,2023,10,2,21,33,0,20231002,1,213300,358.8,360.52653333333336,358.7400144498613,358.69,,False,False,False,False,False,False,False,False,False,False,358.69,2,2,0,0,,,False,False,0,0,,,False,False,False,False,0,0,,,False,False,0,0,,,False,False,False,False,0,0,,,3587.7999999999997,0.25514169096322803,0.033237706511853385,2.4409438289651213,2.4409438289651213,
4,2023-10-02 21:34:00,0.0,359.25,359.31,358.74,143855.0,51757308.0,358.517,,,,,0,0,0,2023-10-02 21:34:00,2023,10,2,21,34,0,20231002,1,213400,359.25,360.52653333333336,358.7400144498613,358.8,,False,False,False,False,False,False,False,False,False,False,358.8,3,3,0,0,,,False,False,0,0,,,False,False,False,False,0,0,,,False,False,0,0,,,False,False,False,False,0,0,,,3591.375,0.8259495043748757,0.29747497246619414,5.813219850995497,5.813219850995497,
5,2023-10-02 21:35:00,0.0,359.33,359.34,359.11,207640.0,74766462.0,358.626,,,,,0,0,0,2023-10-02 21:35:00,2023,10,2,21,35,0,20231002,1,213500,359.33,360.52653333333336,358.7400144498613,359.25,,False,False,False,False,False,False,False,False,False,False,359.25,4,4,0,0,,,False,False,0,0,,,False,False,False,False,0,0,,,False,False,0,0,,,False,False,False,False,0,0,,,3592.7750000000005,1.4005129657898578,0.665154303574082,8.088945284373533,8.088945284373533,
6,2023-10-02 21:36:00,0.0,359.59,359.62,359.22,233478.0,84015270.0,358.715,,,,,0,0,0,2023-10-02 21:36:00,2023,10,2,21,36,0,20231002,1,213600,359.59,360.52653333333336,358.7400144498613,359.33,,False,False,False,False,False,False,False,False,False,False,359.33,5,5,0,0,,,False,False,0,0,,,False,False,False,False,0,0,,,False,False,0,0,,,False,False,False,False,0,0,,,3595.05,2.0484212899887098,1.1262432990456246,10.143957900373938,10.143957900373938,
7,2023-10-02 21:37:00,0.0,359.75,359.75,359.55,120069.0,43231980.0,358.763,,,,,0,0,0,2023-10-02 21:37:00,2023,10,2,21,37,0,20231002,1,213700,359.75,360.52653333333336,358.7400144498613,359.59,,False,False,False,False,False,False,False,False,False,False,359.59,6,6,0,0,,,False,False,0,0,,,False,False,False,False,0,0,,,False,False,0,0,,,False,False,False,False,0,0,,,3597.0,2.72245804758586,1.6583148818923696,11.705574822628396,11.705574822628396,
8,2023-10-02 21:38:00,0.0,359.69,359.78,359.53,244812.0,88228336.0,358.875,,,,,0,0,0,2023-10-02 21:38:00,2023,10,2,21,38,0,20231002,1,213800,359.69,360.52653333333336,358.7400144498613,359.75,,False,False,False,False,False,False,False,False,False,False,359.75,7,6,0,0,,,False,False,0,0,,,False,False,False,False,0,0,,,False,False,0,0,,,False,True,False,False,0,0,,,3596.7249999999995,3.2213942186435816,2.179341327476107,11.46258180284222,11.46258180284222,
9,2023-10-02 21:39:00,0.0,360.13,360.17,359.71,179124.0,64677204.0,358.98,,,,,0,0,0,2023-10-02 21:39:00,2023,10,2,21,39,0,20231002,1,213900,360.13,360.52653333333336,358.7400144498613,359.69,,False,False,False,False,False,False,False,False,False,False,359.69,8,7,0,0,,,False,False,0,0,,,False,False,False,False,0,0,,,False,False,0,0,,,False,False,False,False,0,0,,,3600.3500000000004,3.909033293876746,2.75590531627632,12.684407753604685,12.684407753604685,
