,dt,open,close,high,low,vol,cje,zxj,Code,JW_5,JW_30,DI_5min,DING_5min,DI_30min,DING_30min,volume,icon_1,icon_2,icon_11,icon_12,icon_13,icon_34,icon_35,icon_38,icon_39,icon_41
0,2023-12-15 22:31:00,251.21,250.19,254.2,250.19,7514383,7514383,7514383,分时图,,,0,0,0,0,7514383,0,0,0,0,0,0,0,0,0,0
1,2023-12-15 22:32:00,250.21,250.24,250.64,250.21,544897,544897,544897,分时图,41.056757707564,105.72457188906913,0,0,0,1,544897,0,0,0,0,0,0,0,0,0,0
2,2023-12-15 22:33:00,249.09,249.25,249.32,249.09,806754,806754,806754,分时图,41.056757707564,105.72457188906913,0,0,0,1,806754,0,0,0,0,0,0,0,0,0,0
3,2023-12-15 22:34:00,248.73,249.2,249.48,248.73,824502,824502,824502,分时图,41.056757707564,105.72457188906913,0,0,0,1,824502,0,0,0,0,0,0,0,0,0,0
4,2023-12-15 22:35:00,248.86,249.85,249.85,248.47,825719,825719,825719,分时图,41.056757707564,105.72457188906913,0,0,0,1,825719,0,0,0,0,0,0,0,0,0,0
5,2023-12-15 22:36:00,250.0,250.52,250.91,250.0,1079380,1079380,1079380,分时图,41.056757707564,105.72457188906913,0,0,0,1,1079380,0,0,0,0,0,0,0,0,0,0
6,2023-12-15 22:37:00,249.88,249.99,250.38,249.24,803858,803858,803858,分时图,40.37574772379338,105.72457188906913,0,0,0,1,803858,0,0,0,0,0,0,0,0,0,0
7,2023-12-15 22:38:00,250.0,250.61,250.98,250.0,711412,711412,711412,分时图,40.37574772379338,105.72457188906913,0,0,0,1,711412,0,0,0,0,0,0,0,0,0,0
8,2023-12-15 22:39:00,251.09,250.1,251.09,249.62,949039,949039,949039,分时图,40.37574772379338,105.72457188906913,0,0,0,1,949039,0,0,0,0,0,0,0,0,0,0
9,2023-12-15 22:40:00,249.89,250.79,250.86,249.89,599058,599058,599058,分时图,40.37574772379338,105.72457188906913,0,0,0,1,599058,0,0,0,0,0,0,0,0,0,0
10,2023-12-15 22:41:00,250.51,250.54,250.69,250.39,386576,386576,386576,分时图,40.37574772379338,105.72457188906913,0,0,0,1,386576,0,0,0,0,0,0,0,0,0,0
11,2023-12-15 22:42:00,250.69,250.89,250.89,250.41,474767,474767,474767,分时图,39.26686592964573,105.72457188906913,0,0,0,1,474767,0,0,0,0,0,0,0,0,0,0
12,2023-12-15 22:43:00,251.63,252.17,252.51,251.63,1071684,1071684,1071684,分时图,39.26686592964573,105.72457188906913,0,0,0,1,1071684,0,0,0,0,0,0,0,0,0,0
13,2023-12-15 22:44:00,252.47,252.27,252.75,252.27,738647,738647,738647,分时图,39.26686592964573,105.72457188906913,0,0,0,1,738647,0,0,0,0,0,0,0,0,0,0
14,2023-12-15 22:45:00,252.17,251.43,252.69,251.43,637986,637986,637986,分时图,39.26686592964573,105.72457188906913,0,0,0,1,637986,0,1,0,0,0,0,0,0,0,0
15,2023-12-15 22:46:00,251.69,250.34,251.69,250.2,950264,950264,950264,分时图,39.26686592964573,105.72457188906913,0,0,0,1,950264,0,0,0,0,0,0,0,0,0,0
16,2023-12-15 22:47:00,250.03,249.85,250.45,249.85,687414,687414,687414,分时图,34.73829430969887,105.72457188906913,0,0,0,1,687414,0,0,0,0,0,0,0,0,0,0
