,dt,open,close,high,low,vol,cje,zxj,Code,JW_5,JW_30,DI_5min,DING_5min,DI_30min,DING_30min,volume,icon_1,icon_2,icon_11,icon_12,icon_13,icon_34,icon_35,icon_38,icon_39,icon_41
0,2023-01-23 22:31:00,135.87,135.25,136.7,134.05,5797989,5797989,5797989,分时图,,,0,0,0,0,5797989,0,0,0,0,0,0,0,0,0,0
1,2023-01-23 22:32:00,135.25,134.46,135.25,134.46,1165817,1165817,1165817,分时图,93.47669330760061,64.03820340409082,0,0,0,0,1165817,0,0,0,0,0,0,0,0,0,0
2,2023-01-23 22:33:00,134.39,135.5,135.5,134.39,975332,975332,975332,分时图,93.47669330760061,64.03820340409082,0,0,0,0,975332,0,0,0,0,0,0,0,0,0,0
3,2023-01-23 22:34:00,135.69,135.54,135.8,135.39,1242569,1242569,1242569,分时图,93.47669330760061,64.03820340409082,0,0,0,0,1242569,0,0,0,0,0,0,0,0,0,0
4,2023-01-23 22:35:00,135.75,135.63,136.4,135.63,1407145,1407145,1407145,分时图,93.47669330760061,64.03820340409082,0,0,0,0,1407145,0,0,0,0,0,0,0,0,0,0
5,2023-01-23 22:36:00,135.02,136.09,136.28,135.02,1241542,1241542,1241542,分时图,93.47669330760061,64.03820340409082,0,0,0,0,1241542,0,0,0,0,0,0,0,0,0,0
6,2023-01-23 22:37:00,135.99,135.95,136.04,135.77,939314,939314,939314,分时图,93.94117855631873,64.03820340409082,0,0,0,0,939314,0,0,0,0,0,0,0,0,0,0
7,2023-01-23 22:38:00,136.15,136.93,136.93,136.15,1406970,1406970,1406970,分时图,93.94117855631873,64.03820340409082,0,0,0,0,1406970,0,0,0,0,0,0,0,0,0,0
8,2023-01-23 22:39:00,136.87,136.95,136.95,136.62,935852,935852,935852,分时图,93.94117855631873,64.03820340409082,0,0,0,0,935852,0,0,0,0,0,0,0,0,0,0
9,2023-01-23 22:40:00,136.99,136.92,137.26,136.92,1482185,1482185,1482185,分时图,93.94117855631873,64.03820340409082,0,0,0,0,1482185,0,0,0,0,0,0,0,0,1,0
10,2023-01-23 22:41:00,137.07,136.78,137.28,136.78,1005965,1005965,1005965,分时图,93.94117855631873,64.03820340409082,0,0,0,0,1005965,0,0,0,0,0,0,0,0,0,0
11,2023-01-23 22:42:00,137.01,136.86,137.08,136.55,942432,942432,942432,分时图,95.38177114572852,64.03820340409082,0,0,0,0,942432,0,0,0,0,0,0,0,0,0,0
12,2023-01-23 22:43:00,137.12,137.23,137.24,137.12,950334,950334,950334,分时图,95.38177114572852,64.03820340409082,0,0,0,0,950334,0,0,0,0,0,0,0,0,0,0
13,2023-01-23 22:44:00,137.38,137.12,137.4,137.12,840466,840466,840466,分时图,95.38177114572852,64.03820340409082,0,0,0,0,840466,0,0,0,0,0,0,0,0,0,0
14,2023-01-23 22:45:00,137.06,136.92,137.06,136.78,835218,835218,835218,分时图,95.38177114572852,64.03820340409082,0,0,0,0,835218,0,0,0,0,0,0,0,0,0,0
15,2023-01-23 22:46:00,137.04,137.27,137.32,137.04,591466,591466,591466,分时图,95.38177114572852,64.03820340409082,0,0,0,0,591466,0,0,0,0,0,0,0,0,0,0
16,2023-01-23 22:47:00,137.12,136.91,137.13,136.74,823404,823404,823404,分时图,97.00637348998507,64.03820340409082,0,0,0,0,823404,0,0,0,0,0,0,0,0,0,0
17,2023-01-23 22:48:00,137.18,137.15,137.38,137.15,899712,899712,899712,分时图,97.00637348998507,64.03820340409082,0,0,0,0,899712,0,0,0,0,0,0,0,0,0,0
18,2023-01-23 22:49:00,137.2,137.25,137.25,137.14,638408,638408,638408,分时图,97.00637348998507,64.03820340409082,0,0,0,0,638408,0,0,0,0,0,0,0,0,0,0
19,2023-01-23 22:50:00,137.32,137.49,137.49,137.29,764694,764694,764694,分时图,97.00637348998507,64.03820340409082,0,0,0,0,764694,0,0,0,0,0,0,0,0,0,0
20,2023-01-23 22:51:00,137.7,137.94,137.94,137.59,1039064,1039064,1039064,分时图,97.00637348998507,64.03820340409082,0,0,0,0,1039064,0,0,0,0,0,0,0,0,0,0
21,2023-01-23 22:52:00,137.93,138.27,138.35,137.93,1126490,1126490,1126490,分时图,98.16976240906749,64.03820340409082,0,0,0,0,1126490,0,0,0,0,0,0,0,0,0,0
22,2023-01-23 22:53:00,138.16,137.98,138.16,137.93,805028,805028,805028,分时图,98.16976240906749,64.03820340409082,0,0,0,0,805028,0,0,0,0,0,0,0,0,0,0
23,2023-01-23 22:54:00,138.08,138.39,138.39,138.08,717442,717442,717442,分时图,98.16976240906749,64.03820340409082,0,0,0,0,717442,0,0,0,0,0,0,0,0,0,0
24,2023-01-23 22:55:00,138.48,138.75,138.75,138.48,946950,946950,946950,分时图,98.16976240906749,64.03820340409082,0,0,0,0,946950,0,0,0,0,0,0,0,0,0,0
25,2023-01-23 22:56:00,138.87,138.98,139.1,138.87,1130084,1130084,1130084,分时图,98.16976240906749,64.03820340409082,0,0,0,0,1130084,0,0,0,0,0,0,0,0,0,0
26,2023-01-23 22:57:00,139.0,138.67,139.0,138.67,824104,824104,824104,分时图,99.45029734988904,64.03820340409082,0,0,0,0,824104,0,0,0,0,0,0,0,0,0,0
27,2023-01-23 22:58:00,138.62,138.46,138.62,138.39,787068,787068,787068,分时图,99.45029734988904,64.03820340409082,0,0,0,0,787068,0,0,0,0,0,0,0,0,0,0
28,2023-01-23 22:59:00,138.37,138.5,138.62,138.37,659000,659000,659000,分时图,99.45029734988904,64.03820340409082,0,0,0,0,659000,0,0,0,0,0,0,0,0,0,0
29,2023-01-23 23:00:00,138.51,138.55,138.55,138.34,1096084,1096084,1096084,分时图,99.45029734988904,64.03820340409082,0,0,0,0,1096084,0,0,0,0,0,0,0,0,0,0
30,2023-01-23 23:01:00,138.76,139.24,139.24,138.76,1032776,1032776,1032776,分时图,99.45029734988904,64.03820340409082,0,0,0,0,1032776,0,0,0,0,0,0,0,0,0,0
31,2023-01-23 23:02:00,139.21,139.2,139.21,139.07,656516,656516,656516,分时图,99.20931220933872,70.32772763283697,0,0,0,0,656516,0,0,0,0,0,0,0,0,0,0
32,2023-01-23 23:03:00,139.12,139.05,139.26,139.05,934640,934640,934640,分时图,99.20931220933872,70.32772763283697,0,0,0,0,934640,0,0,0,0,0,0,0,0,0,0
33,2023-01-23 23:04:00,139.23,139.15,139.26,139.15,545176,545176,545176,分时图,99.20931220933872,70.32772763283697,0,0,0,0,545176,0,0,0,0,0,0,0,0,0,0
34,2023-01-23 23:05:00,139.17,138.94,139.17,138.83,704256,704256,704256,分时图,99.20931220933872,70.32772763283697,0,0,0,0,704256,0,0,0,0,0,0,0,0,0,0
35,2023-01-23 23:06:00,139.05,138.68,139.31,138.68,978924,978924,978924,分时图,99.20931220933872,70.32772763283697,0,0,0,0,978924,0,0,0,0,0,0,0,0,0,0
36,2023-01-23 23:07:00,138.58,138.21,138.61,138.21,845752,845752,845752,分时图,98.60460708676595,70.32772763283697,0,0,0,0,845752,0,0,0,0,0,0,0,0,0,0
37,2023-01-23 23:08:00,138.35,138.46,138.46,138.3,571816,571816,571816,分时图,98.60460708676595,70.32772763283697,0,0,0,0,571816,0,0,0,0,0,0,0,0,0,0
38,2023-01-23 23:09:00,138.55,138.73,138.82,138.55,718104,718104,718104,分时图,98.60460708676595,70.32772763283697,0,0,0,0,718104,0,0,0,0,0,0,0,0,0,0
39,2023-01-23 23:10:00,138.82,138.77,138.86,138.68,479172,479172,479172,分时图,98.60460708676595,70.32772763283697,0,0,0,0,479172,0,0,0,0,0,0,0,0,0,0
40,2023-01-23 23:11:00,138.72,138.51,138.72,138.48,532748,532748,532748,分时图,98.60460708676595,70.32772763283697,0,0,0,0,532748,0,0,0,0,0,0,0,0,0,0
41,2023-01-23 23:12:00,138.65,138.96,139.0,138.65,680164,680164,680164,分时图,99.15303382949025,70.32772763283697,0,0,0,0,680164,0,0,0,0,0,0,0,0,0,0
42,2023-01-23 23:13:00,138.93,139.21,139.3,138.93,789212,789212,789212,分时图,99.15303382949025,70.32772763283697,0,0,0,0,789212,0,0,0,0,0,0,0,0,0,0
43,2023-01-23 23:14:00,139.3,139.41,139.43,139.3,712048,712048,712048,分时图,99.15303382949025,70.32772763283697,0,0,0,0,712048,0,0,0,0,0,0,0,0,0,0
44,2023-01-23 23:15:00,139.44,139.06,139.44,138.94,755352,755352,755352,分时图,99.15303382949025,70.32772763283697,0,0,0,0,755352,0,0,0,0,0,0,0,0,0,0
45,2023-01-23 23:16:00,138.93,139.15,139.15,138.93,464240,464240,464240,分时图,99.15303382949025,70.32772763283697,0,0,0,0,464240,0,0,0,0,0,0,0,0,0,0
46,2023-01-23 23:17:00,138.96,138.76,138.96,138.76,481900,481900,481900,分时图,98.89742343948791,70.32772763283697,0,0,0,0,481900,0,0,0,0,0,0,0,0,0,0
47,2023-01-23 23:18:00,138.92,138.85,138.92,138.84,410592,410592,410592,分时图,98.89742343948791,70.32772763283697,0,0,0,0,410592,0,0,0,0,0,0,0,0,0,0
48,2023-01-23 23:19:00,138.73,139.05,139.05,138.73,530216,530216,530216,分时图,98.89742343948791,70.32772763283697,0,0,0,0,530216,0,0,0,0,0,0,0,0,0,0
49,2023-01-23 23:20:00,139.07,138.78,139.07,138.65,566420,566420,566420,分时图,98.89742343948791,70.32772763283697,0,0,0,0,566420,0,0,0,0,0,0,0,0,0,0
50,2023-01-23 23:21:00,138.83,138.81,138.85,138.62,369696,369696,369696,分时图,98.89742343948791,70.32772763283697,0,0,0,0,369696,0,0,0,0,0,0,0,0,0,0
51,2023-01-23 23:22:00,138.93,138.69,138.93,138.66,411472,411472,411472,分时图,99.42629899296873,70.32772763283697,0,0,0,0,411472,0,0,0,0,0,0,0,0,0,0
52,2023-01-23 23:23:00,138.67,139.19,139.19,138.67,589736,589736,589736,分时图,99.42629899296873,70.32772763283697,0,0,0,0,589736,0,0,0,0,0,0,0,0,0,0
53,2023-01-23 23:24:00,139.34,139.23,139.34,139.23,621924,621924,621924,分时图,99.42629899296873,70.32772763283697,0,0,0,0,621924,0,0,0,0,0,0,0,0,0,0
54,2023-01-23 23:25:00,139.19,139.37,139.39,139.19,478508,478508,478508,分时图,99.42629899296873,70.32772763283697,0,0,0,0,478508,0,0,0,0,0,0,0,0,0,0
55,2023-01-23 23:26:00,139.49,139.37,139.64,139.37,925864,925864,925864,分时图,99.42629899296873,70.32772763283697,0,0,0,0,925864,0,0,0,0,0,0,0,0,0,0
56,2023-01-23 23:27:00,139.28,138.98,139.28,138.93,703672,703672,703672,分时图,99.00308734465844,70.32772763283697,0,0,0,0,703672,0,0,0,0,0,0,0,0,0,0
57,2023-01-23 23:28:00,138.99,139.01,139.06,138.9,472412,472412,472412,分时图,99.00308734465844,70.32772763283697,0,0,0,0,472412,0,0,0,0,0,0,0,0,0,0
58,2023-01-23 23:29:00,139.03,139.08,139.08,138.96,368132,368132,368132,分时图,99.00308734465844,70.32772763283697,0,0,0,0,368132,0,0,0,0,0,0,0,0,0,0
59,2023-01-23 23:30:00,139.06,138.79,139.07,138.77,577556,577556,577556,分时图,99.00308734465844,70.32772763283697,0,0,0,0,577556,0,0,0,0,0,0,0,0,0,0
60,2023-01-23 23:31:00,138.93,138.95,138.98,138.89,298380,298380,298380,分时图,99.00308734465844,70.32772763283697,0,0,0,0,298380,0,0,0,0,0,0,0,0,0,0
61,2023-01-23 23:32:00,139.05,139.35,139.35,139.05,610764,610764,610764,分时图,99.10457731099876,76.6349689218332,0,0,0,0,610764,0,0,0,0,0,0,0,0,0,0
62,2023-01-23 23:33:00,139.27,139.06,139.39,139.06,499968,499968,499968,分时图,99.10457731099876,76.6349689218332,0,0,0,0,499968,0,0,0,0,0,0,0,0,0,0
63,2023-01-23 23:34:00,138.87,138.79,138.92,138.79,472428,472428,472428,分时图,99.10457731099876,76.6349689218332,0,0,0,0,472428,0,0,0,0,0,0,0,0,0,0
64,2023-01-23 23:35:00,138.63,138.89,138.89,138.6,549608,549608,549608,分时图,99.10457731099876,76.6349689218332,0,0,0,0,549608,0,0,0,0,0,0,0,0,0,0
65,2023-01-23 23:36:00,138.82,139.19,139.21,138.82,507608,507608,507608,分时图,99.10457731099876,76.6349689218332,0,0,0,0,507608,0,0,0,0,0,0,0,0,0,0
66,2023-01-23 23:37:00,139.11,139.04,139.11,138.9,498000,498000,498000,分时图,99.25838542198068,76.6349689218332,0,0,0,0,498000,0,0,0,0,0,0,0,0,0,0
67,2023-01-23 23:38:00,139.1,138.8,139.1,138.8,334856,334856,334856,分时图,99.25838542198068,76.6349689218332,0,0,0,0,334856,0,0,0,0,0,0,0,0,0,0
68,2023-01-23 23:39:00,138.82,138.89,138.89,138.82,278376,278376,278376,分时图,99.25838542198068,76.6349689218332,0,0,0,0,278376,0,0,0,0,0,0,0,0,0,0
69,2023-01-23 23:40:00,139.06,139.1,139.1,139.0,345252,345252,345252,分时图,99.25838542198068,76.6349689218332,0,0,0,0,345252,0,0,0,0,0,0,0,0,0,0
70,2023-01-23 23:41:00,139.12,139.23,139.25,139.12,361472,361472,361472,分时图,99.25838542198068,76.6349689218332,0,0,0,0,361472,0,0,0,0,0,0,0,0,0,0
71,2023-01-23 23:42:00,139.24,139.23,139.35,139.15,553068,553068,553068,分时图,99.30821083282808,76.6349689218332,0,0,0,0,553068,0,0,0,0,0,0,0,0,0,0
72,2023-01-23 23:43:00,139.23,139.04,139.23,139.04,443664,443664,443664,分时图,99.30821083282808,76.6349689218332,0,0,0,0,443664,0,0,0,0,0,0,0,0,0,0
73,2023-01-23 23:44:00,139.18,139.04,139.18,139.04,286840,286840,286840,分时图,99.30821083282808,76.6349689218332,0,0,0,0,286840,0,0,0,0,0,0,0,0,0,0
74,2023-01-23 23:45:00,139.03,139.37,139.37,139.03,399632,399632,399632,分时图,99.30821083282808,76.6349689218332,0,0,0,0,399632,0,0,0,0,0,0,0,0,0,0
75,2023-01-23 23:46:00,139.36,139.21,139.36,139.21,324320,324320,324320,分时图,99.30821083282808,76.6349689218332,0,0,0,0,324320,0,0,0,0,0,0,0,0,0,0
