,dt,open,close,high,low,vol,cje,zxj,Code,JW_5,JW_30,DI_5min,DING_5min,DI_30min,DING_30min,volume,icon_1,icon_2,icon_11,icon_12,icon_13,icon_34,icon_35,icon_38,icon_39,icon_41,buy_signal,sell_signal,profit,long_end
0,2024-01-30 22:33:00,193.5,194.1,194.56,193.35,63845,63845,63845,分时图,12.105710357965506,,0,0,0,0,63845,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0
0,2024-01-30 22:36:00,193.19,192.96,193.32,192.72,112855,112855,112855,分时图,5.6478207565047,,0,0,0,0,112855,0,0,0,0,0,0,0,0,0,0,0,0,-0.005873261205564084,1
1,2024-01-31 01:21:00,191.58,191.88,191.89,191.48,30570,30570,30570,分时图,9.919650941784127,79.95104574531155,0,0,0,0,30570,0,0,0,0,0,0,0,1,0,0,2,0,0.0,0
1,2024-01-31 01:44:00,191.12,191.03,191.22,191.01,12664,12664,12664,分时图,-3.267219298305392,75.72323265045523,1,0,0,0,12664,0,0,0,0,0,0,0,0,0,0,0,0,-0.004429851990827571,1
