,dt,open,close,high,low,vol,cje,zxj,Code,JW_5,JW_30,DI_5min,DING_5min,DI_30min,DING_30min,volume,icon_1,icon_2,icon_11,icon_12,icon_13,icon_34,icon_35,icon_38,icon_39,icon_41
0,2023-12-20 22:31:00,256.41,255.53,257.43,255.53,2553565,2553565,2553565,分时图,,,0,0,0,0,2553565,0,0,0,0,0,0,0,0,0,0
1,2023-12-20 22:32:00,255.91,255.4,255.91,255.4,543913,543913,543913,分时图,55.70900290917005,89.54212802552348,0,0,0,0,543913,0,0,0,0,0,0,0,0,0,0
2,2023-12-20 22:33:00,255.24,255.73,255.73,254.94,684439,684439,684439,分时图,55.70900290917005,89.54212802552348,0,0,0,0,684439,0,0,0,0,0,0,0,0,0,0
3,2023-12-20 22:34:00,255.87,255.44,256.12,255.44,710641,710641,710641,分时图,55.70900290917005,89.54212802552348,0,0,0,0,710641,0,0,0,0,0,0,0,0,0,0
4,2023-12-20 22:35:00,255.43,255.59,256.05,255.43,548293,548293,548293,分时图,55.70900290917005,89.54212802552348,0,0,0,0,548293,0,0,0,0,0,0,0,0,0,0
5,2023-12-20 22:36:00,255.65,255.5,255.72,255.5,432847,432847,432847,分时图,55.70900290917005,89.54212802552348,0,0,0,0,432847,0,0,0,0,0,0,0,0,0,0
6,2023-12-20 22:37:00,255.46,255.8,255.91,255.46,473817,473817,473817,分时图,59.67959481463751,89.54212802552348,0,0,0,0,473817,0,0,0,0,0,0,0,0,0,0
7,2023-12-20 22:38:00,256.13,256.69,256.69,256.06,849229,849229,849229,分时图,59.67959481463751,89.54212802552348,0,0,0,0,849229,0,0,0,0,0,0,0,0,0,0
8,2023-12-20 22:39:00,256.23,256.48,256.91,256.23,819223,819223,819223,分时图,59.67959481463751,89.54212802552348,0,0,0,0,819223,0,0,0,0,0,0,0,0,0,0
9,2023-12-20 22:40:00,256.38,256.52,256.52,256.24,547288,547288,547288,分时图,59.67959481463751,89.54212802552348,0,0,0,0,547288,0,0,0,0,0,0,0,0,0,0
10,2023-12-20 22:41:00,256.5,257.05,257.05,256.5,669293,669293,669293,分时图,59.67959481463751,89.54212802552348,0,0,0,0,669293,0,0,0,0,0,0,0,0,0,0
11,2023-12-20 22:42:00,257.11,257.66,257.66,257.11,798310,798310,798310,分时图,64.00366612662064,89.54212802552348,0,0,0,0,798310,0,0,0,0,0,0,0,0,0,0
12,2023-12-20 22:43:00,257.66,257.58,257.66,257.39,575327,575327,575327,分时图,64.00366612662064,89.54212802552348,0,0,0,0,575327,0,0,0,0,0,0,0,0,0,0
13,2023-12-20 22:44:00,257.71,257.46,257.81,257.46,467042,467042,467042,分时图,64.00366612662064,89.54212802552348,0,0,0,0,467042,0,0,0,0,0,0,0,0,0,0
14,2023-12-20 22:45:00,257.46,257.45,257.55,257.41,351954,351954,351954,分时图,64.00366612662064,89.54212802552348,0,0,0,0,351954,0,0,0,0,0,0,0,0,0,0
15,2023-12-20 22:46:00,257.27,257.21,257.5,257.21,362572,362572,362572,分时图,64.00366612662064,89.54212802552348,0,0,0,0,362572,0,0,0,0,0,0,0,0,0,0
16,2023-12-20 22:47:00,257.42,257.53,257.53,257.42,301422,301422,301422,分时图,71.50867115821337,89.54212802552348,0,0,0,0,301422,0,0,0,0,0,0,0,0,0,0
17,2023-12-20 22:48:00,257.84,257.94,257.96,257.78,722125,722125,722125,分时图,71.50867115821337,89.54212802552348,0,0,0,0,722125,0,0,0,0,0,0,0,0,0,0
18,2023-12-20 22:49:00,258.01,257.9,258.01,257.9,281123,281123,281123,分时图,71.50867115821337,89.54212802552348,0,0,0,0,281123,0,0,0,0,0,0,0,0,0,0
19,2023-12-20 22:50:00,257.63,258.45,258.45,257.63,648087,648087,648087,分时图,71.50867115821337,89.54212802552348,0,0,0,0,648087,0,0,0,0,0,0,0,0,0,0
20,2023-12-20 22:51:00,258.37,258.91,258.91,258.37,876827,876827,876827,分时图,71.50867115821337,89.54212802552348,0,0,0,0,876827,0,0,0,0,0,0,0,0,0,0
21,2023-12-20 22:52:00,259.07,259.03,259.1,258.8,827872,827872,827872,分时图,77.74061447892731,89.54212802552348,0,0,0,0,827872,0,0,0,0,0,0,0,0,0,0
