,dt,open,close,high,low,vol,cje,zxj,Code,JW_5,JW_30,DI_5min,DING_5min,DI_30min,DING_30min,volume,icon_1,icon_2,icon_11,icon_12,icon_13,icon_34,icon_35,icon_38,icon_39,icon_41,buy_signal,sell_signal,profit,long_end
0,2024-01-29 22:53:00,184.19,184.29,184.41,184.02,38596,38596,38596,分时图,44.64197791271391,,0,0,0,0,38596,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0
0,2024-01-29 22:56:00,184.42,183.98,184.44,183.8,64523,64523,64523,分时图,39.09196582017553,,0,0,0,0,64523,0,0,0,0,0,0,0,0,0,0,0,0,-0.0016821314233002038,1
