,dt,open,close,high,low,vol,cje,zxj,Code,JW_5,JW_30,DI_5min,DING_5min,DI_30min,DING_30min,volume,icon_1,icon_2,icon_11,icon_12,icon_13,icon_34,icon_35,icon_38,icon_39,icon_41,buy_signal,sell_signal,profit,long_end
0,2024-02-02 23:13:00,182.4,182.61,182.76,182.33,34567,34567,34567,分时图,7.7839852031903405,21.549706729498524,0,0,0,0,34567,0,0,0,0,0,0,0,1,0,0,2,0,0.0,0
0,2024-02-02 23:32:00,183.37,183.07,183.43,183.03,18366,18366,18366,分时图,11.417744167228442,16.619991598444955,0,0,0,0,18366,0,0,0,0,0,0,0,0,0,0,0,0,0.0025190296259787193,1
